tree,first_word,last_word,first_onset,last_offset,duration
(S (SBAR (RB once) (WHADVP (WRB when)) (S (NP (PRP i)) (VP (VBD was) (ADJP (NP (CD six) (NNS years)) (JJ old))))) (NP (PRP i)) (VP (VBD saw) (SBAR (S (NP (NP (DT a) (JJ magnificent) (NN picture)) (PP (IN in) (NP (NP (DT a) (NN book)) (PP (IN about) (NP (DT the) (JJ primeval) (NN forest)))))) (VP (VBD called) (NP (JJ real) (NN life) (NNS stories))))))), once, stories,0.113,8.339,8.226
(S (NP (PRP it)) (VP (VBD showed) (NP (DT a) (NN boa) (NN constrictor)) (S (VP (VBG swallowing) (NP (DT a) (JJ wild) (NN animal)))))), it, animal,9.247,12.416,3.169
(S (NP (RB here)) (VP (VBZ is) (NP (NP (DT a) (NN copy)) (PP (IN of) (NP (DT the) (NN drawing)))))), here, drawing,13.144,14.464,1.32
(S (NP (PRP it)) (VP (VBD said) (PP (IN in) (NP (DT the) (NN book))) (SBAR (SBAR (NP (NN boa) (NNS constrictors)) (VP (VP (VB swallow) (NP (NP (PRP$ their)) (NP (NN prey))) (ADVP (RB whole))) (PP (IN without) (VP (VBG chewing))))) (SBAR (SBAR (ADVP (RB then)) (SBAR (NP (PRP they)) (VP (VBP are) (RB not) (ADJP (JJ able) (S (VP (TO to) (VP (VB move)))))))) (SBAR (CC and) (SBAR (NP (PRP they)) (VP (VBP sleep) (PP (IN for) (NP (NP (DT the) (CD six) (NNS months)) (SBAR (NP (PRP it)) (VP (VP (VBZ takes)) (PP (IN for) (NP (NN digestion)))))))))))))), it, digestion,15.86,26.339,10.479
(S (S (IN so) (S (NP (PRP i)) (VP (VP (VBD thought) (NP (DT a) (NN lot))) (PP (PP (IN about) (NP (NP (DT the) (NNS adventures)) (PP (IN of) (NP (DT the) (NN jungle))))))))) (S (CC and) (S (PP (IN in) (NP (NN turn))) (S (NP (PRP i)) (VP (VP (VBN managed) (PP (IN with) (NP (DT a) (NP (VBN colored) (NN pencil))))) (S (VP (TO to) (VP (VB make) (NP (NP (NP (PRP$ my)) (NP (JJ first) (NN drawing))) (NP (NP (PRP$ my)) (NP (NP drawing) (NN number) (NN one)))))))))))), so, one,27.292,36.647,9.355
(S (NP (PRP it)) (VP (VBD looked) (PP (IN like) (NP (DT this))))), it, this,37.186,38.326,1.14
(S (S (NP (PRP i)) (VP (VBD showed) (NP (NP (PRP$ my)) (NP (NN masterpiece))) (PP (TO to) (NP (DT the) (NNS grownups))))) (CC and) (S (NP (PRP i)) (VP (VBD asked) (NP (PRP them)) (SBAR (IN if) (S (NP (NP (PRP$ my)) (NP (NN drawing))) (VP (VBD frightened) (NP (PRP them)))))))), i, them,39.608,44.011,4.403
(S (NP (PRP they)) (VP (VBD answered) (NP (PRP me)) (SBAR (WHADVP (WRB why)) (S (VP (MD would) (ADVP (RB anyone)) (VP (VB be) (ADJP (VBN frightened) (PP (IN by) (NP (DT a) (NN hat)))))))))), they, hat,44.39,48.092,3.702
(S (NP (NP (PRP$ my)) (NP (NN drawing))) (VP (VBD was) (RB not) (PP (IN of) (NP (DT a) (NN hat))))), my, hat,49.13,50.645,1.515
(S (NP (PRP it)) (VP (VBD showed) (NP (DT a) (NN boa) (NN constrictor)) (S (VP (VBG digesting) (NP (DT an) (NN elephant)))))), it, elephant,51.109,54.232,3.123
