,first_word,first_onset,last_word,last_offset
(S (PP (P 当) (NP (S (S (NP (PRP 我)) (VP (ADVP (AD 还)) (VP (VV 只有) (QP (CD 六) (CLP (M 岁)))))) (DEC 的)) (NP (NN 时候)))) (VP (PP (P 在) (LCP (NP (S (S (NP (QP (CD 一)) (DNP (NP (NP (DP (DT 本)) (NP (NN 描写))) (ADJP (JJ 原始)) (NP (NN 森林))) (DEG 的)) (NP (NN 名))) (VP (VV 叫) (NP (S (S (VP (VA 真实))) (DEC 的)) (NP (NN 故事))))) (DEC 的)) (NP (NN 书))) (LC 中))) (VP (VV 看到) (AS 了) (NP (QP (CD 一) (CLP (M 幅))) (S (S (VP (VA 精彩))) (DEC 的)) (NP (NN 插画)))))) ,当,0,插画,7.47
(S (NP (S (S (VP (VA 画))) (DEC 的))) (VP (VC 是) (S (NP (QP (CD 一) (CLP (M 条))) (NP (NN 蟒蛇))) (VP (ADVP (AD 正在)) (VP (VV 吞食) (NP (QP (CD 一) (CLP (M 只))) (ADJP (JJ 大)) (NP (NN 野兽)))))))) ,画,8.02,野兽,11.3
(S (LCP (NP (NN 页头)) (LC 上)) (VP (ADVP (AD 就)) (VP (VC 是) (NP (DNP (NP (DP (DT 那) (CLP (M 幅))) (NP (NN 画))) (DEG 的)) (NP (NN 摹本)))))) ,页头,12.11,摹本,14.07
(S (LCP (NP (DP (DT 这) (CLP (M 本))) (NP (NN 书))) (LC 中)) (VP (VV 写道) (S (NP (DP (DT 这些)) (NP (NN 蟒蛇))) (VP (BA 把) (S (S (NP (DNP (NP (PRP 它们)) (DEG 的)) (NP (NN 猎获物))) (VP (DVP (VP (ADVP (AD 不)) (VP (VV 加) (VP (VV 咀嚼)))) (DEV 地)) (VP (ADVP (AD 囫囵)) (VP (VV 吞) (MSP 下))))) (S (ADVP (AD 尔后)) (VP (ADVP (AD 就)) (VP (ADVP (AD 不)) (VP (VV 能) (VP (ADVP (AD 再)) (VP (VV 动弹) (AS 了)))))))))))),这,14.98,了,22.09
(S (NP (PRP 它们)) (VP (ADVP (AD 就)) (VP (PP (P 在) (LCP (NP (DNP (ADJP (JJ 长长)) (DEC 的)) (NP (DNP (NP (QP (CD 六) (CLP (M 个))) (NP (NN 月))) (DEG 的)) (NP (NN 睡眠)))) (LC 中))) (VP (VV 消化) (DP (DT 这些) (NP (NN 食物))))))),它们,22.83,食物,26.22
(S (NP (NT 当时)) (NP (PRP 我)) (VP (PP (P 对) (NP (DNP (LCP (NP (NN 丛林)) (LC 中)) (DEG 的)) (NP (NN 奇遇)))) (VP (VP (VV 想) (S (VP (VV 得)))) (VP (ADVP (AD 很)) (VP (VA 多)))))) ,当时,27.27,多,30.03
(S (ADVP (AD 于是)) (NP (PRP 我)) (VP (ADVP (AD 也)) (PP (P 用) (NP (ADJP (JJ 彩色)) (NP (NN 铅笔)))) (VP (VP (VV 画)) (VP (VV 出) (AS 了) (NP (DNP (NP (PRP 我)) (DEG 的)) (QP (OD 第一) (CLP (M 幅))) (NP (NN 图画))))))) ,于是,30.68,图画,34.13
(S (NP (DNP (NP (PRP 我)) (DEG 的)) (NP (QP (OD 第一) (CLP (M 号))) (NP (NN 作品)))) (S (NP (PRP 它)) (VP (VC 是) (DNP (ADJP (JJ 这样)) (DEG 的))))),我,34.63,的,37.38
(S (NP (PRP 我)) (VP (VP (BA 把) (S (NP (DNP (NP (PRP 我)) (DEG 的)) (DP (DT 这) (CLP (M 幅))) (NP (NN 杰作))) (VP (VV 拿)))) (VP (PP (P 给) (NP (NN 大人))) (VP (VV 看))))) ,我,38.73,看,40.74
(S (NP (PRP 我)) (VP (VV 问) (NP (PRP 他们)) (S (NP (DNP (NP (PRP 我)) (DEG 的)) (NP (NN 画))) (VP (VNV (VC 是) (AD 不) (VC 是)) (VP (VV 叫) (NP (PRP 他们)) (VP (VV 害怕))))))) ,我,41.41,害怕,44
