tree,first_word,last_word,first_onset,last_offset,duration
once when i was six years old i saw a magnificent picture in a book about the primeval forest called real life stories, once, stories,0.113,8.339,8.226
it showed a boa constrictor swallowing a wild animal, it, animal,9.247,12.416,3.169
here is a copy of the drawing, here, drawing,13.144,14.464,1.32
it said in the book boa constrictors swallow their prey whole without chewing then they are not able to move and they sleep for the six months it takes for digestion, it, digestion,15.86,26.339,10.479
so i thought a lot about the adventures of the jungle and in turn i managed with a colored pencil to make my first drawing my drawing number one, so, one,27.292,36.647,9.355
it looked like this, it, this,37.186,38.326,1.14
i showed my masterpiece to the grownups and i asked them if my drawing frightened them, i, them,39.608,44.011,4.403
they answered me why would anyone be frightened by a hat, they, hat,44.39,48.092,3.702
my drawing was not of a hat, my, hat,49.13,50.645,1.515
it showed a boa constrictor digesting an elephant, it, elephant,51.109,54.232,3.123
i then drew the inside of the boa constrictor so that the grownups could understand, i, understand,55.085,60.093,5.008
they always need to have things explained, they, explained,60.612,62.676,2.064
my drawing number two looked like this, my, this,63.594,65.973,2.379
the grownups advised me to leave aside drawings of boa constrictors open or closed and to apply myself instead to geography history arithmetic and grammar, the, grammar,67.14,77.391,10.251
thus i abandoned at the age of six a magnificent career as a painter, thus, painter,78.254,83.173,4.919
i was discouraged by the failure of my drawing number one and of my drawing number two, i, two,83.716,88.61,4.894
grownups never understand anything by themselves and it is tiresome for children to always explain things for them again and again, grownups, again,89.054,96.912,7.858
so i had to choose another profession and i learned to fly airplanes, so, airplanes,97.465,101.374,3.909
i flew a little in many places around the world and geography it is true has served me well, i, well,102.267,107.53,5.263
i could recognize at first glance china from arizona, i, arizona,108.174,111.568,3.394
it is very useful if you get lost at night, it, night,111.893,114.057,2.164
i have had during my life a lot of contact with many persons of consequence, i, consequence,114.725,119.733,5.008
i have lived a lot amongst the grownups, i, grownups,120.152,122.806,2.654
i have seen them from close up, i, up,123.19,124.67,1.48
it has not much improved my opinion of them, it, them,125.363,127.528,2.165
whenever i met one of them that seemed a bit more clear sighted i tried the experiment of showing them my drawing number one that i have always kept, whenever, kept,128.361,136.958,8.597
i wanted to know if they were really a person of true understanding but they always responded it is a hat, i, hat,137.526,144.087,6.561
so i would never speak to them of boa constrictors nor of primeval forests nor of the stars, so, stars,145.045,150.833,5.788
i put myself at their level, i, level,151.531,153.056,1.525
i talked to them about bridge golf politics and neckties and the grownup was glad to know such a sensible man, i, man,153.44,161.889,8.449
so i lived alone without anyone i could really talk to until a breakdown in the sahara desert six years ago, so, ago,163.261,170.017,6.756
something had broken in my engine and as i had with me neither a mechanic nor any passengers i readied myself to try and carry out all alone the difficult repairs, something, repairs,170.856,181.221,10.365
for me it was a matter of life or death, for, death,182.039,184.092,2.053
i had hardly enough water to drink for a week, i, week,184.611,187,2.389
the first night i went to sleep on the sand a thousand miles from any human habitation, the, habitation,188.148,193.171,5.023
