tree,word-index,word,number,last_word,onset,offset,logfreq,pos,section,top_down,bottom_up,left_corner,first_word,first_onset,last_word,last_offset
(S (SBAR (RB once) (WHADVP (WRB when)) (S (NP (PRP i)) (VP (VBD was) (ADJP (NP (CD six) (NNS years)) (JJ old))))) (NP (PRP i)) (VP (VBD saw) (SBAR (S (NP (NP (DT a) (JJ magnificent) (NN picture)) (PP (IN in) (NP (NP (DT a) (NN book)) (PP (IN about) (NP (DT the) (JJ primeval) (NN forest)))))) (VP (VBD called) (NP (JJ real) (NN life) (NNS stories))))))), once-1), once,1,stories,0.113,0.728,5.824405917,ADV,1,3,1,2, once,0.113, stories,8.339
(S (NP (PRP it)) (VP (VBD showed) (NP (DT a) (NN boa) (NN constrictor)) (S (VP (VBG swallowing) (NP (DT a) (JJ wild) (NN animal)))))), it-1), it,1,animal,9.247,9.432,8.891153872,PRON,1,3,2,3, it,9.247, animal,12.416
(S (NP (RB here)) (VP (VBZ is) (NP (NP (DT a) (NN copy)) (PP (IN of) (NP (DT the) (NN drawing)))))), here-1), here,1,drawing,13.144,13.344,6.305070182,ADV,1,3,2,3, here,13.144, drawing,14.464
(S (NP (PRP it)) (VP (VBD said) (PP (IN in) (NP (DT the) (NN book))) (SBAR (SBAR (NP (NN boa) (NNS constrictors)) (VP (VP (VB swallow) (NP (NP (PRP$ their)) (NP (NN prey))) (ADVP (RB whole))) (PP (IN without) (VP (VBG chewing))))) (SBAR (SBAR (ADVP (RB then)) (SBAR (NP (PRP they)) (VP (VBP are) (RB not) (ADJP (JJ able) (S (VP (TO to) (VP (VB move)))))))) (SBAR (CC and) (SBAR (NP (PRP they)) (VP (VBP sleep) (PP (IN for) (NP (NP (DT the) (CD six) (NNS months)) (SBAR (NP (PRP it)) (VP (VP (VBZ takes)) (PP (IN for) (NP (NN digestion)))))))))))))), it-1), it,1,digestion,15.86,16.023,8.891153872,PRON,1,3,2,3, it,15.86, digestion,26.339
(S (S (IN so) (S (NP (PRP i)) (VP (VP (VBD thought) (NP (DT a) (NN lot))) (PP (PP (IN about) (NP (NP (DT the) (NNS adventures)) (PP (IN of) (NP (DT the) (NN jungle))))))))) (S (CC and) (S (PP (IN in) (NP (NN turn))) (S (NP (PRP i)) (VP (VP (VBN managed) (PP (IN with) (NP (DT a) (NP (VBN colored) (NN pencil))))) (S (VP (TO to) (VP (VB make) (NP (NP (NP (PRP$ my)) (NP (JJ first) (NN drawing))) (NP (NP (PRP$ my)) (NP (NP drawing) (NN number) (NN one)))))))))))), so-1), so,1,one,27.292,27.777,7.514636259,ADV,1,3,1,2, so,27.292, one,36.647
(S (NP (PRP it)) (VP (VBD looked) (PP (IN like) (NP (DT this))))), it-1), it,1,this,37.186,37.311,8.891153872,PRON,1,3,2,3, it,37.186, this,38.326
(S (S (NP (PRP i)) (VP (VBD showed) (NP (NP (PRP$ my)) (NP (NN masterpiece))) (PP (TO to) (NP (DT the) (NNS grownups))))) (CC and) (S (NP (PRP i)) (VP (VBD asked) (NP (PRP them)) (SBAR (IN if) (S (NP (NP (PRP$ my)) (NP (NN drawing))) (VP (VBD frightened) (NP (PRP them)))))))), i-1), i,1,them,39.608,39.791,8.500758885,PRON,1,4,2,3, i,39.608, them,44.011
(S (NP (PRP they)) (VP (VBD answered) (NP (PRP me)) (SBAR (WHADVP (WRB why)) (S (VP (MD would) (ADVP (RB anyone)) (VP (VB be) (ADJP (VBN frightened) (PP (IN by) (NP (DT a) (NN hat)))))))))), they-1), they,1,hat,44.39,44.589,8.044690442,PRON,1,3,2,3, they,44.39, hat,48.092
(S (NP (NP (PRP$ my)) (NP (NN drawing))) (VP (VBD was) (RB not) (PP (IN of) (NP (DT a) (NN hat))))), my-1), my,1,hat,49.13,49.315,7.222784973,DET,1,4,2,3, my,49.13, hat,50.645
(S (NP (PRP it)) (VP (VBD showed) (NP (DT a) (NN boa) (NN constrictor)) (S (VP (VBG digesting) (NP (DT an) (NN elephant)))))), it-1), it,1,elephant,51.109,51.503,8.891153872,PRON,1,3,2,3, it,51.109, elephant,54.232
(S (SBAR (NP (PRP i)) (SBAR (ADVP (RB then)) (VP (VBD drew) (NP (NP (DT the) (NN inside)) (PP (IN of) (NP (DT the) (NP (NN boa) (NN constrictor)))))))) (SBAR (RB so) (IN that) (S (NP (DT the) (NNS grownups)) (VP (MD could) (VP (VB understand)))))), i-1), i,1,understand,55.085,55.583,8.500758885,PRON,1,4,2,3, i,55.085, understand,60.093
(S (NP (PRP they)) (ADVP (RB always)) (VP (VBP need) (S (VP (TO to) (VP (VB have) (NP (NP (NNS things)) (VP (VBN explained)))))))), they-1), they,1,explained,60.612,60.737,8.044690442,PRON,1,3,2,3, they,60.612, explained,62.676
(S (NP (NP (NP (PRP$ my)) (NP (NN drawing) (NN number))) (NP (CD two))) (VP (VBD looked) (PP (IN like) (NP (DT this))))), my-1), my,1,this,63.594,63.803,7.222784973,DET,1,5,2,3, my,63.594, this,65.973
(S (NP (DT the) (NNS grownups)) (VP (VBD advised) (S (NP (PRP me)) (VP (VP (TO to) (VP (VB leave) (PRT (RP aside)) (NP (NP (NP (NNS drawings)) (PP (IN of) (NP (NN boa) (NNS constrictors)))) (ADJP (JJ open) (CC or) (JJ closed))))) (CC and) (VP (TO to) (VP (VB apply) (NP (PRP myself)) (PP (RB instead) (PP (TO to) (NP (NP (NN geography) (NN history) (NN arithmetic)) (CC and) (NP (NN grammar))))))))))), the-1), the,1,grammar,67.14,67.205,11.11580048,DET,1,3,1,2, the,67.14, grammar,77.391
(S (ADVP (RB thus)) (NP (PRP i)) (VP (VBD abandoned) (PP (IN at) (NP (NP (DT the) (NN age)) (PP (IN of) (NP (CD six))))) (NP (NP (DT a) (JJ magnificent) (NN career)) (PP (IN as) (NP (DT a) (NN painter)))))), thus-1), thus,1,painter,78.254,78.839,6.101820067,ADV,1,3,2,3, thus,78.254, painter,83.173
(S (NP (PRP i)) (VP (VBD was) (VP (VBN discouraged) (PP (PP (IN by) (NP (NP (DT the) (NN failure)) (PP (IN of) (NP (NP (PRP$ my)) (NP (NN drawing) (NN number) (NN one)))))) (CC and) (PP (IN of) (NP (NP (PRP$ my)) (NP (NN drawing) (NN number))) (NP (CD two))))))), i-1), i,1,two,83.716,83.859,8.500758885,PRON,1,3,2,3, i,83.716, two,88.61
(S (S (NP (NNS grownups)) (ADVP (RB never)) (VP (VBP understand) (NP (NN anything)) (PP (IN by) (NP (PRP themselves))))) (CC and) (S (NP (PRP it)) (VP (VBZ is) (ADJP (JJ tiresome) (PP (IN for) (NP (NNS children)))) (S (VP (TO to) (ADVP (RB always)) (VP (VB explain) (NP (NP (NNS things)) (PP (IN for) (NP (PRP them)))) (ADVP (RB again) (CC and) (RB again)))))))), grownups-1), grownups,1,again,89.054,89.746,-1.168830911,NOUN,1,4,2,3, grownups,89.054, again,96.912
(S (S (IN so) (NP (PRP i)) (VP (VBD had) (S (VP (TO to) (VP (VB choose) (NP (DT another) (NN profession))))))) (CC and) (S (NP (PRP i)) (VP (VBD learned) (S (VP (TO to) (VP (VB fly) (NP (NNS airplanes)))))))), so-1), so,1,airplanes,97.465,97.85,7.514636259,ADV,1,3,1,2, so,97.465, airplanes,101.374
(S (S (NP (PRP i)) (VP (VBD flew) (NP (DT a) (JJ little)) (PP (IN in) (NP (JJ many) (NNS places))) (PP (IN around) (NP (DT the) (NN world))))) (CC and) (S (NP (NN geography)) (PRN (S (NP (PRP it)) (VP (VBZ is) (ADJP (JJ true))))) (VP (VBZ has) (VP (VBN served) (S (NP (PRP me)) (ADVP (RB well))))))), i-1), i,1,well,102.267,102.402,8.500758885,PRON,1,4,2,3, i,102.267, well,107.53
(S (NP (PRP i)) (VP (MD could) (VP (VB recognize) (PP (IN at) (NP (JJ first) (NN glance) (NN china))) (PP (IN from) (NP (NN arizona)))))), i-1), i,1,arizona,108.174,108.308,8.500758885,PRON,1,3,2,3, i,108.174, arizona,111.568
(S (NP (PRP it)) (VP (VBZ is) (ADJP (RB very) (JJ useful)) (SBAR (IN if) (S (NP (PRP you)) (VP (VBP get) (VP (VBN lost) (PP (IN at) (NP (NN night))))))))), it-1), it,1,night,111.893,112.005,8.891153872,PRON,1,3,2,3, it,111.893, night,114.057
(S (NP (PRP i)) (VP (VBP have) (VP (VBN had) (PP (IN during) (NP (NP (NP (PRP$ my)) (NP (NN life))) (PP (NP (NP (DT a) (NN lot)) (PP (IN of) (NP (NN contact)))) (IN with) (NP (NP (JJ many) (NNS persons)) (PP (IN of) (NP (NN consequence)))))))))), i-1), i,1,consequence,114.725,115.19,8.500758885,PRON,1,3,2,3, i,114.725, consequence,119.733
