tree,first_word,first_onset,last_word,last_offset
当我还只有六岁的时候在一本描写原始森林的名叫真实的故事的书中看到了一幅精彩的插画,当,0.0,插画,7.47
画的是一条蟒蛇正在吞食一只大野兽,画,8.02,野兽,11.3
页头上就是那幅画的摹本,页头,12.11,摹本,14.07
这本书中写道这些蟒蛇把它们的猎获物不加咀嚼地囫囵吞下尔后就不能再动弹了,这,14.98,了,22.09
它们就在长长的六个月的睡眠中消化这些食物,它们,22.83,食物,26.22
当时我对丛林中的奇遇想得很多,当时,27.27,多,30.03
于是我也用彩色铅笔画出了我的第一幅图画,于是,30.68,图画,34.13
我的第一号作品它是这样的,我,34.63,的,37.38
我把我的这幅杰作拿给大人看,我,38.73,看,40.74
我问他们我的画是不是叫他们害怕,我,41.41,害怕,44.0
他们回答我说害怕一顶帽子有什么可怕的,他们,44.89,的,49.6
我画的不是帽子是一条巨蟒在消化着一头大象,我,50.55,大象,54.39
既然大人们不能够理解于是我又把巨蟒肚子里的情况画了出来以便让大人们能够看懂,既然,55.23,懂,61.97
这些大人总是需要解释,这些,62.7,解释,64.53
我的第二号作品是这样的,我,65.66,的,67.56
大人们劝我把这些画着开着肚皮的或闭上肚皮的蟒蛇的图画放在一边还是把兴趣放在地理历史算术语法上,大人们,68.75,上,77.91
就这样在六岁的那年我就放弃了当画家这一美好的职业,就,78.76,职业,83.63
我的第一号第二号作品的不成功使我泄了气,我,84.36,气,87.82
这些大人们靠他们自己什么也弄不懂还得老是不断地给他们做解释,这些,88.64,解释,93.93
后来我只好选择了另外一个职业,后来,95.05,职业,97.63
我学会了开飞机,我,98.24,飞机,99.46
世界各地差不多都飞到过,世界,100.07,过,101.71
的确地理学帮了我很大的忙,的确,102.28,忙,104.78
我一眼就能分辨出中国和亚利桑那,我,105.35,亚利桑那,107.7
要是夜里迷失了航向这是很有用的,要是,108.41,的,110.7
这样在我的生活中我跟许多严肃的人有过很多的接触,这样,111.58,接触,115.83
我在大人们中间生活过很长时间,我,116.45,时间,118.51
我仔细地观察过他们但这并没有使我对他们的看法有多大的改变,我,119.25,改变,124.18
